Date,España,Alemania,Corea del Norte
2020-07-28 00:00:00+00:00,280610.0,206242.0,0
2020-07-29 00:00:00+00:00,282641.0,206926.0,0
2020-07-30 00:00:00+00:00,285430.0,207828.0,0
2020-07-31 00:00:00+00:00,288522.0,208698.0,0
2020-08-01 00:00:00+00:00,288522.0,209653.0,0
2020-08-02 00:00:00+00:00,288522.0,209893.0,0
2020-08-03 00:00:00+00:00,297054.0,210402.0,0
2020-08-04 00:00:00+00:00,302814.0,211281.0,0
2020-08-05 00:00:00+00:00,305767.0,212022.0,0
2020-08-06 00:00:00+00:00,309855.0,213067.0,0
2020-08-07 00:00:00+00:00,314362.0,214214.0,0
2020-08-08 00:00:00+00:00,314362.0,215336.0,0
2020-08-09 00:00:00+00:00,314362.0,215891.0,0
2020-08-10 00:00:00+00:00,322980.0,216327.0,0
2020-08-11 00:00:00+00:00,326612.0,217293.0,0
2020-08-12 00:00:00+00:00,329784.0,218519.0,0
2020-08-13 00:00:00+00:00,337334.0,219964.0,0
2020-08-14 00:00:00+00:00,342813.0,221413.0,0
2020-08-15 00:00:00+00:00,342813.0,222828.0,0
2020-08-16 00:00:00+00:00,342813.0,223453.0,0
2020-08-17 00:00:00+00:00,359082.0,224014.0,0
2020-08-18 00:00:00+00:00,364196.0,225404.0,0
2020-08-19 00:00:00+00:00,370867.0,226914.0,0
2020-08-20 00:00:00+00:00,377906.0,228621.0,0
2020-08-21 00:00:00+00:00,386054.0,230048.0,0
2020-08-22 00:00:00+00:00,386054.0,232082.0,0
2020-08-23 00:00:00+00:00,386054.0,232864.0,0
2020-08-24 00:00:00+00:00,405436.0,233575.0,0
2020-08-25 00:00:00+00:00,412553.0,234853.0,0
2020-08-26 00:00:00+00:00,419849.0,236429.0,0
2020-08-27 00:00:00+00:00,429507.0,237936.0,0
2020-08-28 00:00:00+00:00,439286.0,239507.0,0
2020-08-29 00:00:00+00:00,439286.0,240986.0,0
2020-08-30 00:00:00+00:00,439286.0,241771.0,0
2020-08-31 00:00:00+00:00,462858.0,242381.0,0
2020-09-01 00:00:00+00:00,470973.0,243599.0,0
2020-09-02 00:00:00+00:00,479554.0,244855.0,0
2020-09-03 00:00:00+00:00,488513.0,246166.0,0
2020-09-04 00:00:00+00:00,498989.0,247619.0,0
2020-09-05 00:00:00+00:00,498989.0,248997.0,0
2020-09-06 00:00:00+00:00,498989.0,249985.0,0
2020-09-07 00:00:00+00:00,525549.0,250799.0,0
2020-09-08 00:00:00+00:00,534513.0,252298.0,0
2020-09-09 00:00:00+00:00,543379.0,253474.0,0
2020-09-10 00:00:00+00:00,554143.0,255366.0,0
2020-09-11 00:00:00+00:00,566326.0,256850.0,0
2020-09-12 00:00:00+00:00,566326.0,258480.0,0
2020-09-13 00:00:00+00:00,566326.0,259428.0,0
2020-09-14 00:00:00+00:00,593730.0,260355.0,0
2020-09-15 00:00:00+00:00,603167.0,261762.0,0
2020-09-16 00:00:00+00:00,614360.0,263663.0,0
2020-09-17 00:00:00+00:00,625651.0,265857.0,0
2020-09-18 00:00:00+00:00,640040.0,267773.0,0
2020-09-19 00:00:00+00:00,640040.0,270070.0,0
2020-09-20 00:00:00+00:00,640040.0,271415.0,0
2020-09-21 00:00:00+00:00,671468.0,272337.0,0
2020-09-22 00:00:00+00:00,682267.0,274158.0,0
2020-09-23 00:00:00+00:00,693556.0,275927.0,0
2020-09-24 00:00:00+00:00,704209.0,278070.0,0
2020-09-25 00:00:00+00:00,716481.0,280223.0,0
2020-09-26 00:00:00+00:00,716481.0,282730.0,0
2020-09-27 00:00:00+00:00,716481.0,284140.0,0
2020-09-28 00:00:00+00:00,748266.0,285332.0,0
2020-09-29 00:00:00+00:00,748266.0,287421.0,0
2020-09-30 00:00:00+00:00,769188.0,289219.0,0
2020-10-01 00:00:00+00:00,778607.0,291722.0,0
2020-10-02 00:00:00+00:00,789932.0,294395.0,0
2020-10-03 00:00:00+00:00,789932.0,296958.0,0
2020-10-04 00:00:00+00:00,789932.0,299237.0,0
2020-10-05 00:00:00+00:00,813412.0,300619.0,0
2020-10-06 00:00:00+00:00,825410.0,303258.0,0
2020-10-07 00:00:00+00:00,835901.0,306086.0,0
2020-10-08 00:00:00+00:00,848324.0,310144.0,0
2020-10-09 00:00:00+00:00,861112.0,314660.0,0
2020-10-10 00:00:00+00:00,861112.0,319381.0,0
2020-10-11 00:00:00+00:00,861112.0,322864.0,0
2020-10-12 00:00:00+00:00,888968.0,325331.0,0
2020-10-13 00:00:00+00:00,896086.0,329453.0,0
2020-10-14 00:00:00+00:00,908056.0,334585.0,0
2020-10-15 00:00:00+00:00,921374.0,341223.0,0
2020-10-16 00:00:00+00:00,936560.0,348557.0,0
2020-10-17 00:00:00+00:00,936560.0,356387.0,0
2020-10-18 00:00:00+00:00,936560.0,361974.0,0
2020-10-19 00:00:00+00:00,974449.0,366299.0,0
2020-10-20 00:00:00+00:00,988322.0,373167.0,0
2020-10-21 00:00:00+00:00,1005295.0,380762.0,0
2020-10-22 00:00:00+00:00,1026281.0,392049.0,0
2020-10-23 00:00:00+00:00,1046132.0,403291.0,0
2020-10-24 00:00:00+00:00,1046132.0,418005.0,0
2020-10-25 00:00:00+00:00,1046132.0,429181.0,0
2020-10-26 00:00:00+00:00,1098320.0,437866.0,0
2020-10-27 00:00:00+00:00,1116738.0,449275.0,0
2020-10-28 00:00:00+00:00,1136503.0,464239.0,0
2020-10-29 00:00:00+00:00,1160083.0,481013.0,0
2020-10-30 00:00:00+00:00,1185678.0,499694.0,0
2020-10-31 00:00:00+00:00,1185678.0,518753.0,0
2020-11-01 00:00:00+00:00,1185678.0,532930.0,0
2020-11-02 00:00:00+00:00,1240697.0,545027.0,0
2020-11-03 00:00:00+00:00,1259366.0,560379.0,0
2020-11-04 00:00:00+00:00,1284408.0,577593.0,0
2020-11-05 00:00:00+00:00,1306316.0,597583.0,0
2020-11-06 00:00:00+00:00,1328832.0,619089.0,0
2020-11-07 00:00:00+00:00,1328832.0,642488.0,0
2020-11-08 00:00:00+00:00,1328832.0,658505.0,0
2020-11-09 00:00:00+00:00,1381218.0,671868.0,0
2020-11-10 00:00:00+00:00,1381218.0,687200.0,0
2020-11-11 00:00:00+00:00,1417709.0,705687.0,0
2020-11-12 00:00:00+00:00,1437220.0,727553.0,0
2020-11-13 00:00:00+00:00,1458591.0,751095.0,0
2020-11-14 00:00:00+00:00,1458591.0,773556.0,0
2020-11-15 00:00:00+00:00,1458591.0,790503.0,0
2020-11-16 00:00:00+00:00,1496864.0,801327.0,0
2020-11-17 00:00:00+00:00,1510023.0,815746.0,0
2020-11-18 00:00:00+00:00,1525341.0,833307.0,0
2020-11-19 00:00:00+00:00,1541574.0,855916.0,0
2020-11-20 00:00:00+00:00,1556730.0,879564.0,0
2020-11-21 00:00:00+00:00,1556730.0,902528.0,0
2020-11-22 00:00:00+00:00,1556730.0,918269.0,0
2020-11-23 00:00:00+00:00,1582616.0,929133.0,0
2020-11-24 00:00:00+00:00,1594844.0,942687.0,0
2020-11-25 00:00:00+00:00,1605066.0,961320.0,0
2020-11-26 00:00:00+00:00,1617355.0,983588.0,0
2020-11-27 00:00:00+00:00,1628208.0,1006394.0,0
2020-11-28 00:00:00+00:00,1628208.0,1028089.0,0
2020-11-29 00:00:00+00:00,1628208.0,1042700.0,0
2020-11-30 00:00:00+00:00,1648187.0,1053869.0,0
2020-12-01 00:00:00+00:00,1656444.0,1067473.0,0
2020-12-02 00:00:00+00:00,1665775.0,1084743.0,0
2020-12-03 00:00:00+00:00,1675902.0,1106789.0,0
